game,critic_score,user_score
FIFA 17,8.9,4.8
Gran Turismo,9.5,
The Witcher 3: Wild Hunt,9.2,9.2
Call of Duty: Modern Warfare 2,9.5,
Grand Theft Auto IV,10,9
Super Mario All-Stars,9.2,9.5
Call of Duty: Ghosts,6.9,
Just Dance 3,7.5,
Call of Duty: Ghosts,7.5,
Splatoon 2,8.2,8.5
Super Mario Party,7.3,7.5
Horizon: Zero Dawn,9.1,8
RollerCoaster Tycoon 3,8.3,
Halo: Reach,9.3,
Portal,9,
Halo 4,9.8,
Final Fantasy VII,9.6,9.5
Mario Kart 64,8.5,
Super Smash Bros. for 3DS,8.4,
Call of Duty 4: Modern Warfare,9.6,9
Gran Turismo 2,9.2,
Wii Party,7,
Call of Duty: Black Ops IIII,8.3,4
Mario Party DS,7.1,
Donkey Kong Country,9,8.8
Half-Life,9.5,
Uncharted 3: Drake's Deception,9.3,6.3
FIFA 19,8.3,1.7
Rust,6.1,6.2
The Elder Scrolls V: Skyrim,9.3,
Mario Party 8,6.5,
Pokemon: Ultra Sun and Ultra Moon,8.1,
Super Mario Kart,10,
Grand Theft Auto V,9,9
Final Fantasy VIII,9.4,
Final Fantasy X,9,10
Pokemon Black 2 and White 2,8,8.3
Call of Duty: Infinite Warfare,7.7,3.8
Fallout 4,8.6,6.6
Mario Kart 8,8.8,8.9
Tekken 3,9.6,
FIFA 16,8.5,4.4
The Last of Us,9.5,
GoldenEye 007,9.8,
Star Wars Battlefront (2015),7.1,
FIFA 13,,
NBA 2K20,7.8,1.2
Halo 2,9.6,
The Sims 3,8.5,
Grand Theft Auto: Liberty City Stories,8.8,
Pac-Man,9,7.4
God of War III,9.2,9.4
Pokemon Platinum Version,8.3,8.9
The Legend of Zelda: Ocarina of Time,9.9,10
Crash Bandicoot 2: Cortex Strikes Back,8.6,
Call of Duty: Advanced Warfare,8.5,5.7
Call of Duty: World at War,8.5,7.8
Super Mario Bros. 2,8.5,8.1
Super Mario Galaxy 2,9.7,9.8
Super Smash Bros. Melee,9.2,
Call of Duty: Black Ops 3,,
Battlefield 3,8.5,
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,,
The Legend of Zelda: Twilight Princess,9.5,9.6
Battlefield 1,9.1,7.9
Battlefield 3,8.5,
Need for Speed Underground,8.6,
The Binding of Isaac,8.3,8.4
FIFA 20,7.9,1.1
Crash Bandicoot 3: Warped,9.3,
Pokemon Emerald Version,7.7,
Guild Wars 2,9,8.1
Need for Speed Underground 2,8.3,
Just Dance 4,,
Mario Kart: Double Dash!!,8.5,
Medal of Honor: Frontline,9,
Crash Bandicoot,7.8,
Uncharted 2: Among Thieves,9.5,9.6
Call of Duty 4: Modern Warfare,9.5,9.6
FIFA Soccer 12,9.2,
FIFA 14,9,
Fallout 4,9,5.5
New Super Mario Bros. U Deluxe,8,6.6
Tomodachi Life,7.8,7.6
Red Dead Redemption,9.5,
Donkey Kong Country Returns,8.6,
The Legend of Zelda,8.4,8.8
Assassin's Creed III,8.8,
Guild Wars,8.7,
Red Dead Redemption,9.5,10
The Elder Scrolls V: Skyrim,9,
Final Fantasy XII,9.4,9.5
Pokemon Crystal Version,8.7,
Halo 3: ODST,8.7,
Minecraft,9.4,
Luigi's Mansion 3,8.6,8.5
FIFA 15,8.1,5.7
Kingdom Hearts,8.5,
Myst,8.9,8
Street Fighter II: The World Warrior,,
Driver,8.5,
Call of Duty: WWII,8,4
Luigi's Mansion: Dark Moon,8.6,8.5
Big Brain Academy,7.7,
Minecraft,9.5,
Metal Gear Solid 2: Sons of Liberty,9.5,7
The Legend of Zelda: Ocarina of Time 3D,9.3,9
Cities: Skylines,8.5,8.9
Metal Gear Solid,9.3,
Sonic the Hedgehog 2,,
Metal Gear Solid 4: Guns of the Patriots,9.3,9.8
Euro Truck Simulator 2,8.5,8.7
Mario Kart: Super Circuit,9.3,
Super Mario Sunshine,9.2,
Super Mario 3D World,9.5,8.9
Age of Empires II: HD Edition,6.8,7.9
New Super Mario Bros. U,8.4,8
Link's Crossbow Training,6.9,
Red Dead Redemption 2,9.7,7.4
Destiny,7.6,6.1
Tekken 2,9.1,
Uncharted: The Nathan Drake Collection,8.6,8.5
Super Mario World: Super Mario Advance 2,9.4,
LEGO Star Wars: The Complete Saga,8,
Cooking Mama,6.6,
Tetris,,
Super Mario Advance,8.2,
Assassin's Creed II,9,
Super Smash Bros.,8.4,
Assassin's Creed,8.2,8
Batman: Arkham City,9.6,
Forza Motorsport 3,9.2,9.8
Dragon Quest IX: Sentinels of the Starry Skies,8.6,
Final Fantasy IX,9.2,
Final Fantasy X-2,8.3,
Sid Meier's Civilization VI,8.8,7
Tomb Raider (2013),8.8,
Super Mario Maker 2,8.8,8.5
Pokemon Stadium,7.5,
Minecraft,,
Call of Duty: World at War,8.4,
Super Mario Advance 4: Super Mario Bros. 3,9.2,
Crash Bandicoot: The Wrath of Cortex,6.9,
Super Smash Bros. for Wii U,9.2,8.9
Final Fantasy XIII,8,9.2
Gran Turismo 5 Prologue,8.3,
Dr. Mario,,
Assassin's Creed III,8.5,
Pokemon Pinball,8.7,
Assassin's Creed II,9.1,
The Forest,8.3,7.3
Donkey Kong 64,9.3,
Just Dance 2,7.3,
Tomb Raider II,7.6,
Madden NFL 2004,9.5,
Call of Duty: Advanced Warfare,8.3,5.5
Fallout: New Vegas,8.3,
Gran Turismo 6,,
Kingdom Hearts II,8.3,
Nintendo Land,7.8,7.9
Super Mario Land 3: Wario Land,7.9,
Donkey Kong Country 2: Diddy's Kong Quest,9.3,
Medal of Honor: Rising Sun,5.9,
Battlefield 1,9.3,7.6
Kirby's Dream Land,,
Microsoft Flight Simulator,7,
Guitar Hero II,9.2,
FIFA 13,,
Resident Evil 5,8.6,8.8
Fable III,7.8,
Mario & Sonic at the Olympic Games,7,
Grand Theft Auto: Vice City Stories,8.4,
FIFA Soccer 11,8.7,
Super Mario Bros. Deluxe,9.7,
Final Fantasy XV,8.1,9.5
Fallout 4,8.4,6.4
Tony Hawk's Pro Skater,9.6,
Warzone 2100,7.5,
Spyro the Dragon,8.7,
Gears of War,9.4,9.4
Gears of War 2,9.4,9.5
Halo 5: Guardians,8.6,6.4
Halo: Combat Evolved,9.5,
Guitar Hero III: Legends of Rock,8.2,
Uncharted: Drake's Fortune,8.7,8.6
Resident Evil 2,9.3,
Fallout 3,9,8.6
Splatoon,8.4,8.7
Madden NFL 06,9.1,
Stardew Valley,9.2,8.7
Dragon Quest VIII: Journey of the Cursed King,8.6,
Monster Hunter Freedom 3,,
Diddy Kong Racing,8.3,
Pokemon Mystery Dungeon: Explorers of Time / Darkness,6.4,
Call of Duty: Black Ops IIII,,
Dr. Mario,,
Crash Bandicoot N. Sane Trilogy,8,8.5
Assassin's Creed,8.2,8.5
Call of Duty: Infinite Warfare,7.8,3.6
Crash Team Racing,9.2,
LEGO Star Wars: The Complete Saga,7.8,
The Legend of Zelda: Phantom Hourglass,9.1,
Batman: Arkham City,9.5,
Driver 2,7,
The Simpsons: Hit & Run,7.7,
World of Warcraft: Cataclysm,9,
Tony Hawk's Pro Skater 2,9.3,
Gran Turismo,7.7,9.5
The Lord of the Rings: The Two Towers,8.3,
Tomb Raider,8.9,
God of War,9.3,
The Legend of Zelda: A Link to the Past,10,
Left 4 Dead,8.6,8.5
Forza Motorsport 4,9.1,
Guitar Hero III: Legends of Rock,8.6,
Nintendogs + cats,7.2,
"Pokemon: Let's Go, Pikachu!",8.3,6.1
BioShock Infinite,9.5,8.6
Mario & Luigi: Bowser's Inside Story,9.1,
FIFA 15,6.9,
Mario & Sonic at the Olympic Winter Games,6.8,
Overwatch,8.8,6.4
Madden NFL 2005,9.5,
Guitar Hero III: Legends of Rock,8.7,
Star Wars Battlefront II (2017),,
Dead Island,7.1,6.9
Arma 2: Operation Arrowhead,,
ARK: Survival Evolved,7,5.2
LittleBigPlanet,9.4,9.2
Riven: The Sequel to Myst,,
StarCraft II: Wings of Liberty,9.3,
Warcraft III: Reign of Chaos,9.3,
Pitfall!,,
Professor Layton and the Curious Village,8.7,
Madden NFL 07,8.5,
Spider-Man: The Movie,8.2,
The Elder Scrolls IV: Oblivion,9.2,
The Legend of Zelda: The Wind Waker,9.6,
Tony Hawk's Pro Skater 3,9.1,
Winning Eleven: Pro Evolution Soccer 2007,8.8,
The Legend of Zelda: Link's Awakening,8.7,8.4
Zelda II: The Adventure of Link,,
Michael Jackson: The Experience,5.6,
Tom Clancy's The Division,8,7
Need for Speed: Most Wanted,8.6,
Resistance: Fall of Man,8.5,9.1
Tom Clancy's Rainbow Six: Siege,,
Call of Duty: Advanced Warfare,9.1,
Watch Dogs,8,6.4
Animal Crossing: City Folk,7.1,8.8
Starbound,8.1,7.1
Asteroids,7.6,7.8
Dragon Quest VII,8,3
Monster Hunter Generations,8.8,8
The Witcher 3: Wild Hunt,9.1,9.2
Batman: Arkham Asylum,9,
Call of Duty: Advanced Warfare,9.1,
God of War II,9.3,9.8
Namco Museum,8.5,
Daxter,8.6,
Super Paper Mario,8.5,
Assassin's Creed: Revelations,8.8,
Metal Gear Solid 3: Snake Eater,9,
Assassin's Creed: Revelations,7.9,
FIFA Soccer 06,8.4,
Counter-Strike,8.9,
Monster Hunter 4 Ultimate,8.8,8.6
Mortal Kombat 11,8.2,3.6
Street Fighter IV,9.3,9
7 Days to Die,,
FIFA Soccer 12,9.2,
Call of Duty: Ghosts,7.5,3.8
Teenage Mutant Ninja Turtles,5.9,
Just Cause 2,8.2,
Excitebike,8.4,
Frogger,2,
Star Wars Battlefront (2015),6.9,
FIFA 14,9.1,
Madden NFL 2003,9.4,
Assassin's Creed: Unity,,
Destiny 2,8.5,4.9
Super Mario World 2: Yoshi's Island,9,
Batman: Arkham Knight,8.1,7.8
FIFA 07 Soccer,8.4,
The Sims 4,7,4
Monster Hunter 4,,
Street Fighter II Turbo,9,
Fallout: New Vegas,8.2,
The Legend of Zelda: A Link Between Worlds,9.3,9
Assassin's Creed Origins,8.1,7.2
Far Cry 4,8.4,7.7
Carnival Games,4.2,
World Soccer Winning Eleven 9,8.9,
Forza Motorsport 2,9.1,
Namco Museum Vol.3,,
Tekken Tag Tournament,8.7,
Golf,,
Super Mario Maker,8.8,8.7
Arma III,,
Diablo II,8.8,
Disney's Aladdin,,
EyeToy Play,7.5,
Just Dance,5.4,
Monster Hunter: World,9.3,9
Star Fox 64,9,
The Last of Us: Part II,9.4,5.6
World of Warcraft: Wrath of the Lich King,9.3,9.3
Fallout 3,8.8,
The Legend of Zelda: Oracle of Ages / Seasons,,
The Elder Scrolls V: Skyrim,9.2,8.2
Namco Museum: 50th Anniversary,5,
NBA 2K16,8.7,6.7
Left 4 Dead 2,9,
Far Cry 5,7.9,6.8
Battlefield 4,8.3,7
Assassin's Creed IV: Black Flag,8.7,
EA Sports Active,8.3,
Half-Life 2: Episode One,8.7,
Donkey Kong Land,,
English Training: Have Fun Improving Your Skills!,,
Dragon Quest III,,8
Tony Hawk's Underground,8.7,
Just Dance 2014,7.4,
Professor Layton and the Diabolical Box,8.5,
Sports Champions,7.6,
World Soccer Winning Eleven 8 International,9.3,
Namco Museum Vol.1,,
The Legend of Zelda: Link's Awakening,,
Resident Evil VII: Biohazard,8.6,
Monster Hunter Freedom Unite,7.7,9.7
Madden NFL 20,7.6,1.5
Gran Turismo Sport,7.5,6
LEGO Indiana Jones: The Original Adventures,7.5,
The Sims: Unleashed,7.3,
Tomodachi Collection,,
Ratchet & Clank: Size Matters,8.5,
Harry Potter and the Sorcerer's Stone,8,
Pokemon Trading Card Game,8.3,
FIFA 17,8.8,5.1
Spyro: Year of the Dragon,9.1,
FIFA Soccer 2005,8.4,
Diablo III: Reaper of Souls,8.7,6.6
The Legend of Zelda: Skyward Sword,9.4,
Tony Hawk's Pro Skater 4,9.6,
Midnight Club 3: DUB Edition,7.2,
MySims,6.7,
Banjo-Kazooie,9.3,9.4
SOCOM: U.S. Navy SEALs,8,
Battlefield 4,8.7,
Jak and Daxter: The Precursor Legacy,9,8.9
Pokemon Snap,7.9,
Pro Evolution Soccer 2008,8.2,
FIFA Soccer 10,9,
Guitar Hero: World Tour,8.4,
Gears of War: Ultimate Edition,8.2,7.6
Star Wars Battlefront,8.1,
Doom II,9.3,
The Simpsons: Road Rage,6.1,
BattleBlock Theater,8.5,7.9
Assassin's Creed Syndicate,8.6,6.9
Star Wars Battlefront II,8.5,
Assassin's Creed: Unity,,
Cooking Mama 2: Dinner With Friends,6.9,
Undertale,9.2,8.3
WWF SmackDown!,,
Croc: Legend of the Gobbos,7.6,
Battlefield 4,8.7,
Grand Theft Auto: Liberty City Stories,8.3,
The Getaway,7.7,
Tomb Raider III: Adventures of Lara Croft,8.2,
Batman: Arkham Asylum,9.1,
Assassin's Creed: Brotherhood,9.1,
James Bond 007: Agent Under Fire,7.9,
LEGO Star Wars: The Video Game,7.9,
Resident Evil 5,8.6,
Rugrats in Paris: The Movie,,
NBA 2K17,9,6.4
FIFA Soccer 11,8.7,
Spyro 2: Ripto's Rage!,8.7,
Left 4 Dead,8.7,9
Donkey Kong Country 3: Dixie Kong's Double Trouble!,8.8,
Fable II,9,9.3
Final Fantasy VII Remake,8.7,8.1
Kung Fu,,
Resident Evil 3: Nemesis,9.4,
World of Warcraft: The Burning Crusade,9.2,
FIFA Soccer 2004,8,
Pokemon Mystery Dungeon: Blue Rescue Team,6.3,
Mortal Kombat X,8.3,7.8
Battlefield: Bad Company 2,9,9.3
Borderlands,8.3,
Mario & Sonic at the Olympic Winter Games,7.6,
Dying Light,7.5,7.9
Guitar Hero: On Tour,7.1,8.1
Dragon Ball Z: Budokai,,
Halo: The Master Chief Collection,8.5,7.4
LEGO Batman: The Videogame,7.5,
Tekken 4,7.9,
FIFA 14,9.1,6.3
Animal Crossing: Happy Home Designer,6.6,6.9
LittleBigPlanet 2,9.1,
Grand Theft Auto 2,6.9,
Destiny,8.3,5.5
Spider-Man 2,7.9,
F-1 Race,7,
Super Mario Maker,7.3,
World of Warcraft: Battle for Azeroth,7.9,3.1
FIFA Soccer 2003,8.3,
Crash Bash,6.8,
Gears of War 4,8.4,6.9
Tekken: Dark Resurrection,8.7,
The Elder Scrolls V: Skyrim Special Edition,8.3,7.1
Watch Dogs 2,8.2,7.7
The Legend of Zelda: Majora's Mask,9.3,
WWF War Zone,,
Yoshi's Island DS,8.2,
Assassin's Creed IV: Black Flag,8.5,
NBA 2K18,8.1,1.7
Big Brain Academy: Wii Degree,7.1,
Rugrats: Search For Reptar,,
Luigi's Mansion,7.9,
James Bond 007: Nightfire,,
Ratchet & Clank,,
Star Wars Episode III: Revenge of the Sith,,
Max Payne,8.1,
Madden NFL 16,8.2,5.9
World of Warcraft: Legion,8.8,7.3
World of Warcraft: Warlords of Draenor,8.7,5.9
Dark Souls III,8.9,8.4
Dark Souls: Prepare to Die Edition,8.5,7.6
The Lord of the Rings: The Return of the King,8.4,
Half-Life 2: Episode Two,9.1,
Madden NFL 17,8.5,4.4
True Crime: Streets of LA,,
Gran Turismo (PSP),,
Far Cry 3,,
God of War: Chains of Olympus,8.9,9.5
FIFA 16,8.5,4.4
Tekken,8.3,
Flash Focus: Vision Training in Minutes a Day,6.1,
007: Tomorrow Never Dies,6.2,
L.A. Noire,9.1,
Baseball,5.5,
Detroit: Become Human,8,8.6
Dragon Quest IV,,
Dragon Quest VI: Maboroshi no Daichi,,
Killer Instinct,,
WWF SmackDown! 2: Know Your Role,8.7,
Middle-Earth: Shadow of Mordor,,
Assassin's Creed IV: Black Flag,8.3,7.9
Personal Trainer: Cooking,8.4,
Enter the Matrix,7.2,
Assassin's Creed Odyssey,9.5,5.9
Fallout: New Vegas,8.2,
Sonic Heroes,6.6,
Club Penguin: Elite Penguin Force,7,
FIFA Soccer 08,8.7,
FIFA 18,8,3
Spider-Man,,
Need for Speed III: Hot Pursuit,8,
The Elder Scrolls IV: Oblivion,9.3,
Star Wars Episode I Racer,8.7,
Tekken 6,7.9,
Yoshi,,
Resident Evil 6,7.9,
Tom Clancy's Ghost Recon Wildlands,7,
NBA 2K13,8.6,
Titanfall,8.9,6.7
Mario Party 9,6.5,
Mass Effect 2,9.5,8.9
The Legend of Zelda: Majora's Mask 3D,9,8.9
Madden NFL 2002,9.2,
World Class Track Meet,,
LEGO Batman: The Videogame,7.3,
Saints Row 2,7.9,
Donkey Kong,,
The Sims: Vacation,8,
Call of Duty: Ghosts,7.5,4.3
LEGO Batman: The Videogame,7.8,
Borderlands 2,9,
New Super Luigi U,7.8,8
Kung Fu Panda,7.5,
Mass Effect 3,9.5,
Rhythm Heaven,8.5,
Metal Gear Solid V: The Phantom Pain,9.3,8.2
Rayman,7,
Tom Clancy's Splinter Cell,9.3,9.1
Mike Tyson's Punch-Out!!,,
Professor Layton and the Unwound Future,8.4,
WWE SmackDown! Shut Your Mouth,8.2,
Disney Epic Mickey,7,
Killzone 2,9.1,9.3
1-2-Switch,5.7,
Crysis,9.2,8.5
DayZ,,
Fable,8.6,
Gears of War 3,9.1,
Heavy Rain,8.8,8.6
Kinect Sports,7.4,
MotorStorm,8.2,
Sonic and the Secret Rings,6.7,
Sonic Rush,7.8,
Space Engineers,,
Torchlight II,9.1,8.5
Warcraft II: Tides of Darkness,9.3,
WWE SmackDown! vs. Raw 2006,8.4,
Kirby Super Star Ultra,7.3,
Star Fox,,
The Sims: Livin Large,,
World Soccer Winning Eleven 6 International,9,
Far Cry 3,9,
Mario vs. Donkey Kong: Mini-Land Mayhem!,7.8,
Style Savvy,7.6,
Super Meat Boy,9.2,
Yokai Watch,7.7,
The Legend of Zelda: Spirit Tracks,8.7,
Battlefield: Bad Company 2,8.9,8.8
Hitman 2: Silent Assassin,8.4,
Yokai Watch 2: Psychic Specters,,
Street Fighter IV,9.3,9.3
SOCOM II: U.S. Navy SEALs,8.8,
WWE SmackDown! vs. RAW 2006,,
Fire Emblem Fates,,
Wave Race 64,9.2,
Pac-Man Collection,9,
Pokemon Ranger,6.6,
Madden NFL 13,8,
Doom (2016),,
Mass Effect,9.2,9.1
FIFA 15,6.9,
Counter-Strike: Condition Zero,6.8,
Dragon Ball Z: Budokai 2,,
Final Fantasy III,9.1,
Mortal Kombat (2011),8.5,
World Soccer Winning Eleven 7 International,9.2,
Sega Superstars Tennis,6.9,
Cooking Mama: Cook Off,5.9,
Hot Shots Golf 3,8,
Call of Duty: Finest Hour,,
Syphon Filter,9.2,
Imagine: Babyz,3.5,
Fire Emblem: Three Houses,8.9,8.7
Mafia III,6.9,5.2
Subnautica,8.7,8.4
Colin McRae Rally,7.9,
Wii Music,5.6,
The Elder Scrolls III: Morrowind,8.2,
Prison Architect,,
Assassin's Creed: Brotherhood,9.1,
Command & Conquer: Red Alert,9.3,
F-Zero,,
Yoshi's Story,,
The Walking Dead: A Telltale Games Series,8.9,8.7
Metroid Prime,9.6,9.5
Zumba Fitness 2,,
Madden NFL 10,8.6,
BioShock,9.6,9.5
Mario Party: Island Tour,5.5,6
Yoshi's Island: Super Mario Advance 3,,
WWE SmackDown! vs. Raw,8.4,
Finding Nemo,7,
Medal of Honor,7,
Diablo III: Ultimate Evil Edition,9,7.9
The Legend of Zelda: A Link to the Past,9.6,
Gran Turismo (PSP),7.8,
Need for Speed: Hot Pursuit,8.9,
Imagine: Fashion Designer,3,
Killzone 3,8.2,
Hitman: Absolution,9,7.1
WWE SmackDown! Here Comes the Pain,9.1,
Dragon Quest V: Tenkuu no Hanayome,,
Infestation: Survivor Stories,3,
Tekken 5,9,
Hot Shots Golf,8,
Trine 2,9,8.4
Skylanders: Spyro's Adventure,8,
A Bug's Life,3.6,
WWF SmackDown! Just Bring It,,
Mortal Kombat Trilogy,6,
NBA Street,9.3,
Jak II,9.5,
Ratchet & Clank: Going Commando,8.7,
The Sims,8,
Star Wars: The Force Unleashed,7.1,
Saints Row: The Third,8.3,
Donkey Kong Country Returns 3D,8.6,8.3
Missile Command,,
Battlefield 3,8.9,7.6
The Binding of Isaac: Rebirth,8.6,8.4
Mario Tennis Aces,7.8,7.1
Resident Evil,8.6,
Need for Speed: Most Wanted (2012),,
Tetris DS,8.5,
L.A. Noire,9.1,
Metroid,8,
Ring Fit Adventure,8.3,8.8
Far Cry: Primal,7.2,
"Pokemon: Let's Go, Eevee!",8.3,6.1
Overwatch,8.7,5.9
Need for Speed (2015),7,
Madden NFL 13,8.3,
Skate 3,8.3,
Tom Clancy's Rainbow Six: Siege,,
Divinity: Original Sin,8.7,8.7
Madden NFL 12,7.8,
1602 A.D.,7.9,
Dead Rising 3,8.3,6.9
Mario Party,7.6,
World of Warcraft: Mists of Pandaria,8.7,5
Call of Duty 3,8,8.4
LEGO Star Wars II: The Original Trilogy,8.4,
Madden NFL 11,8.3,
Burnout 3: Takedown,9.3,
Mortal Kombat,,
Halo Wars,8.1,8.5
Call of Duty 2: Big Red One,8.5,
Medal of Honor,9.3,
Guitar Hero: World Tour,8.6,
WWE SmackDown! Shut Your Mouth,8.2,
Final Fantasy XIII-2,8,
Medal of Honor Heroes,6.7,
Hannah Montana,6.5,
Need for Speed: Shift,8.2,
Tom Clancy's Splinter Cell,9.1,
Star Wars: Shadows of the Empire,6.5,
Super Mario Bros. 2 (FDS),8.5,8.1
Ace Combat 04: Shattered Skies,8.9,
Medal of Honor,7.3,
NBA 2K12,9.1,
Midnight Club: Street Racing,8.6,
NBA 2K13,8.9,
Mario & Luigi: Dream Team,8,8.1
NBA 2K19,8.2,2.6
ESPN NFL 2K5,9.3,
Madden NFL 18,8.2,3.7
FIFA Soccer 10,8.9,
LittleBigPlanet,8.8,
Harry Potter and the Chamber of Secrets,8.4,
Mario Strikers Charged,7.7,
Monster Hunter 3G,7.6,
Streets of Rage,,
Grand Theft Auto: Episodes from Liberty City,9,
LEGO Star Wars: The Complete Saga,8,
Mario + Rabbids: Kingdom Battle,8.3,8.5
Tom Clancy's The Division,8,6.9
FIFA Soccer 09,8.6,
NBA Live 2005,8.9,
Hotline Miami,8.8,8.6
Bastion,8.5,8.5
WWE SmackDown vs. RAW 2007,8,
Skylanders Giants,8,
Ratchet & Clank: Up Your Arsenal,9.1,
Madden NFL 08,7.9,
Clubhouse Games,8.3,
NBA 2K14,9.3,
Ratchet & Clank Future: Tools of Destruction,8.9,
Hot Shots Golf,8,
Dragon Age: Origins,8.5,
Kirby Star Allies,8.1,10
Kirby: Triple Deluxe,7.8,8.7
FIFA 16,9,
Pokemon Stadium 2,7.9,
Madden NFL 09,8.5,
Space Invaders,,
Crazy Taxi,8.2,
Dragon Ball: Xenoverse 2,7.1,7.5
Perfect Dark,9.7,
Tomb Raider (2013),8.9,
Midnight Club: Los Angeles,8.3,
PES 2009: Pro Evolution Soccer,,
Marvel: Ultimate Alliance,8.3,
Black & White,9.3,
Crisis Core: Final Fantasy VII,8.1,9
Dance Central,8.4,
Diablo,8.7,
Dragon Ball Z: Budokai 3,,
Dragon Quest II,,
Far Cry,8.6,
Final Fantasy Tactics,8.8,
Forza Horizon 3,9,8
Warcraft III: The Frozen Throne,9.2,
Rise of the Tomb Raider,8.6,7.9
Dustforce DX,,
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,9.8,
NBA 2K15,8.3,6.9
Game Party,2.6,
Mortal Kombat: Deadly Alliance,8.2,
Dungeon Defenders,8.3,7.3
Mario Party 2,7.9,
Saints Row: The Third,8.3,
Tomb Raider: The Last Revelation,8.5,
Assassin's Creed Origins,8.5,7.5
Pure,8.3,
Rock Band,9.1,
Minecraft,,
Battlefield 1942,9,
WarioWare Touched!,7.8,
Resistance 2,8.5,8.7
Batman: Arkham City,9,8.7
Madden NFL 16,8.4,6
Mario Party 4,7,
Paper Mario: Sticker Star,8.3,5.7
Dying Light,7.4,7.9
Dark Souls III,8.9,8.8
LEGO Harry Potter: Years 1-4,7.9,
uDraw Studio,,
Madden NFL 17,8.1,5.4
Twisted Metal 2,8.7,
The Sims: Bustin' Out,8,
Need for Speed Carbon: Own the City,7.4,
Ice Hockey,7,
Sonic Adventure,8.9,
Tom Clancy's Rainbow Six: Vegas 2,8.2,
God of War Collection,9.2,
Kinect: Disneyland Adventures,8.5,
Pro Evolution Soccer 2011,6,
ATV Offroad Fury,8.4,
Pokemon Colosseum,7,
NBA 2K16,8.3,6.1
Halo: Combat Evolved Anniversary,8,
Need for Speed: ProStreet,,
Tetris Plus,6,
Forza Motorsport 5,8.8,6
