game,platform,publisher,developer,games_sold,year
Super Mario Land,GB,Nintendo,Nintendo R&D1,18.14,1989
Pokemon Diamond / Pearl Version,DS,Nintendo,Game Freak,17.67,2007
Super Mario Odyssey,NS,Nintendo,Nintendo EPD,17.41,2017
The Legend of Zelda: Breath of the Wild,NS,Nintendo,Nintendo EPD,17.41,2017
Pokemon Sword / Shield,NS,Nintendo,Game Freak,17.37,2019
Grand Theft Auto: San Andreas,PS2,Rockstar Games,Rockstar North,17.3,2004
Super Mario Bros. 3,NES,Nintendo,Nintendo R&D2,17.28,1990
Garry's Mod,PC,Valve,Facepunch Studios,16.9,2006
Pokemon X/Y,3DS,Nintendo,Game Freak,16.45,2013
Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment,Naughty Dog,16.25,2016
Pokemon Ruby / Sapphire Version,GBA,Nintendo,Game Freak,16.22,2003
Pokemon Sun/Moon,3DS,Nintendo,Game Freak,16.18,2016
Grand Theft Auto: Vice City,PS2,Rockstar Games,Rockstar North,16.15,2002
Grand Theft Auto V,X360,Rockstar Games,Rockstar North,15.86,2013
Pokemon Black / White Version,DS,Nintendo,Game Freak,15.64,2011
Call of Duty: Black Ops 3,PS4,Activision,Treyarch,15.09,2015
Counter-Strike: Source,PC,VU Games,Valve Software,15,2004
Sonic the Hedgehog,GEN,Sega,Sonic Team,15,1991
Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,Polyphony Digital,14.89,2001
Brain Age 2: More Training in Minutes a Day,DS,Nintendo,Nintendo SDD,14.88,2007
Call of Duty: Modern Warfare 3,X360,Activision,Infinity Ward,14.82,2011
Call of Duty: Black Ops,X360,Activision,Treyarch,14.74,2010
Pokemon Yellow: Special Pikachu Edition,GB,Nintendo,Game Freak,14.64,1999
Halo 3,X360,Microsoft Game Studios,Bungie Studios,14.5,2007
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,Game Freak,14.27,2014
Terraria,PC,Unknown,Re-Logic,14,2011
Red Dead Redemption 2,PS4,Rockstar Games,Rockstar Games,13.94,2018
Call of Duty: Black Ops II,X360,Activision,Treyarch,13.86,2012
Call of Duty: Black Ops II,PS3,Activision,Treyarch,13.8,2012
Call of Duty: Modern Warfare 2,X360,Activision,Infinity Ward,13.53,2009
Animal Crossing: New Horizons,NS,Nintendo,Nintendo,13.41,2020
Call of Duty: WWII,PS4,Activision,Sledgehammer Games,13.4,2017
Call of Duty: Modern Warfare 3,PS3,Activision,Infinity Ward,13.35,2011
New Super Mario Bros. 2,3DS,Nintendo,Nintendo,13.34,2012
Super Smash Bros. Brawl,Wii,Nintendo,Project Sora,13.32,2008
Marvel's Spider-Man,PS4,Sony Interactive Entertainment,Insomniac Games,13.2,2018
Grand Theft Auto III,PS2,Rockstar Games,DMA Design,13.1,2001
Portal 2,PC,Valve,Valve Software,13.06,2011
Minecraft,X360,Microsoft Studios,Mojang,13,2013
Super Mario Galaxy,Wii,Nintendo,Nintendo EAD Tokyo,12.8,2007
Pokemon Heart Gold / Soul Silver Version,DS,Nintendo,Game Freak,12.72,2010
Super Mario 3D Land,3DS,Nintendo,Nintendo EAD Tokyo,12.7,2011
Call of Duty: Black Ops,PS3,Activision,Treyarch,12.67,2010
Grand Theft Auto V,PC,Rockstar Games,Rockstar North,12.6,2015
Animal Crossing: New Leaf,3DS,Nintendo,Nintendo EAD,12.55,2013
The Witcher 3: Wild Hunt,PC,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,12.4,2015
Diablo III,PC,Blizzard Entertainment,Blizzard Entertainment,12,2012
Half-Life 2,PC,VU Games,Valve Software,12,2004
Pokemon FireRed / LeafGreen Version,GBA,Nintendo,Game Freak,12,2004
World of Warcraft,PC,Blizzard Entertainment,Blizzard Entertainment,12,2004
"Pokemon: Let's Go, Pikachu/Eevee",NS,Nintendo,Game Freak,11.97,2018
Gran Turismo 5,PS3,Sony Computer Entertainment,Polyphony Digital,11.95,2010
Super Mario 64,N64,Nintendo,Nintendo EAD,11.91,1996
FIFA 18,PS4,EA Sports,EA Vancouver,11.8,2017
The Last of Us Remastered,PS4,Sony Computer Entertainment,Naughty Dog,11.78,2014
Gran Turismo 4,PS2,Sony Computer Entertainment,Polyphony Digital,11.76,2005
Animal Crossing: Wild World,DS,Nintendo,Nintendo EAD,11.75,2005
Super Mario Land 2: 6 Golden Coins,GB,Nintendo,Nintendo R&D1,11.18,1992
Grand Theft Auto IV,X360,Rockstar Games,Rockstar North,11.09,2008
Super Mario 64 DS,DS,Nintendo,Nintendo EAD,11.06,2004
God of War (2018),PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,11,2018
StarCraft,PC,Blizzard Entertainment,Blizzard Entertainment,11,1998
FIFA 17,PS4,Electronic Arts,EA Canada,10.94,2016
Gran Turismo,PS,Sony Computer Entertainment,Polyphony Digital,10.85,1998
The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,10.8,2015
Call of Duty: Modern Warfare 2,PS3,Activision,Infinity Ward,10.61,2009
Grand Theft Auto IV,PS3,Rockstar Games,Rockstar North,10.57,2008
Super Mario All-Stars,SNES,Nintendo,Nintendo EAD,10.55,1993
Call of Duty: Ghosts,X360,Activision,Infinity Ward,10.41,2013
Just Dance 3,Wii,Ubisoft,Ubisoft Paris,10.14,2011
Call of Duty: Ghosts,PS3,Activision,Infinity Ward,10.13,2013
Splatoon 2,NS,Nintendo,Nintendo EPD,10.13,2017
Super Mario Party,NS,Nintendo,"Nd Cube Co., Ltd.",10.1,2018
Horizon: Zero Dawn,PS4,Sony Interactive Entertainment,Guerrilla Games,10,2017
RollerCoaster Tycoon 3,PC,Atari,Frontier Developments,10,2004
Halo: Reach,X360,Microsoft Game Studios,Bungie,9.97,2010
Portal,PC,Valve Corporation,Valve Software,9.97,2008
Halo 4,X360,Microsoft Studios,343 Industries,9.96,2012
Final Fantasy VII,PS,Sony Computer Entertainment,SquareSoft,9.9,1997
Mario Kart 64,N64,Nintendo,Nintendo EAD,9.87,1997
Super Smash Bros. for 3DS,3DS,Nintendo,Bandai Namco Games,9.59,2014
Call of Duty 4: Modern Warfare,X360,Activision,Infinity Ward,9.41,2007
Gran Turismo 2,PS,Sony Computer Entertainment,Polyphony Digital,9.37,1999
Wii Party,Wii,Nintendo,"Nd Cube Co., Ltd.",9.34,2010
Call of Duty: Black Ops IIII,PS4,Activision,Treyarch,9.32,2018
Mario Party DS,DS,Nintendo,Hudson Soft,9.31,2007
Donkey Kong Country,SNES,Nintendo,Rare Ltd.,9.3,1994
Half-Life,PC,Sierra Entertainment,Valve Software,9.3,1998
Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,Naughty Dog,9.3,2011
FIFA 19,PS4,Electronic Arts,EA Sports,9.15,2018
Rust,PC,Facepunch Studios,Facepunch Studios,9.02,2018
The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Bethesda Game Studios,8.88,2011
Mario Party 8,Wii,Nintendo,Hudson Soft,8.85,2007
Pokemon: Ultra Sun and Ultra Moon,3DS,Nintendo,Game Freak,8.77,2017
Super Mario Kart,SNES,Nintendo,Nintendo EAD,8.76,1992
Grand Theft Auto V,XOne,Rockstar Games,Rockstar North,8.72,2014
Final Fantasy VIII,PS,Square EA,SquareSoft,8.6,1999
Final Fantasy X,PS2,Square,SquareSoft,8.6,2001
Pokemon Black 2 and White 2,DS,Nintendo,Game Freak,8.52,2012
Call of Duty: Infinite Warfare,PS4,Activision,Infinity Ward,8.48,2016
Fallout 4,PS4,Bethesda Softworks,Bethesda Game Studios,8.48,2015
Mario Kart 8,WiiU,Nintendo,Nintendo,8.45,2014
Tekken 3,PS,Namco,Namco,8.3,1998
FIFA 16,PS4,EA Sports,EA Canada,8.22,2015
The Last of Us,PS3,Sony Computer Entertainment America,Naughty Dog,8.15,2013
GoldenEye 007,N64,Nintendo,Rare Ltd.,8.09,1997
Star Wars Battlefront (2015),PS4,Electronic Arts,EA DICE,8.03,2015
FIFA 13,PS3,EA Sports,EA Canada,8.01,2012
NBA 2K20,PS4,2K Sports,Visual Concepts,8,2019
Halo 2,XB,Microsoft Game Studios,Bungie Studios,8,2004
The Sims 3,PC,Electronic Arts,EA Redwood Shores,7.96,2009
Grand Theft Auto: Liberty City Stories,PSP,Rockstar Games,Rockstar Leeds,7.72,2005
Pac-Man,2600,Atari,Atari,7.7,1982
God of War III,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,7.6,2010
Pokemon Platinum Version,DS,Nintendo,Game Freak,7.6,2009
The Legend of Zelda: Ocarina of Time,N64,Nintendo,Nintendo EAD,7.6,1998
Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,Naughty Dog,7.58,1997
Call of Duty: Advanced Warfare,PS4,Activision,Sledgehammer Games,7.53,2014
Call of Duty: World at War,X360,Activision,Treyarch,7.5,2008
Super Mario Bros. 2,NES,Nintendo,Nintendo EAD,7.46,1988
Super Mario Galaxy 2,Wii,Nintendo,Nintendo EAD Tokyo,7.41,2010
Super Smash Bros. Melee,GC,Nintendo,HAL Laboratory,7.41,2001
Call of Duty: Black Ops 3,XOne,Activision,Treyarch,7.37,2015
Battlefield 3,X360,Electronic Arts,Dice,7.35,2011
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo,Level 5,7.29,2016
The Legend of Zelda: Twilight Princess,Wii,Nintendo,Nintendo EAD,7.26,2006
Battlefield 1,PS4,Electronic Arts,EA DICE,7.26,2016
Battlefield 3,PS3,Electronic Arts,Dice,7.21,2011
Need for Speed Underground,PS2,Electronic Arts,EA Black Box,7.2,2003
The Binding of Isaac,PC,Edmund McMillen,Edmund McMillen,7.17,2011
FIFA 20,PS4,Electronic Arts,EA Sports,7.15,2019
Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,Naughty Dog,7.13,1998
Pokemon Emerald Version,GBA,Nintendo,Game Freak,7.06,2005
Guild Wars 2,PC,NCSoft,ArenaNet,7,2012
Need for Speed Underground 2,PS2,Electronic Arts,EA Black Box,6.9,2004
Just Dance 4,Wii,Ubisoft,Ubisoft,6.89,2012
Mario Kart: Double Dash!!,GC,Nintendo,Nintendo EAD,6.88,2003
Medal of Honor: Frontline,PS2,Electronic Arts,EA Los Angeles,6.83,2002
Crash Bandicoot,PS,Sony Computer Entertainment,Naughty Dog,6.82,1996
Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,Naughty Dog,6.74,2009
Call of Duty 4: Modern Warfare,PS3,Activision,Infinity Ward,6.72,2007
FIFA Soccer 12,PS3,EA Sports,EA Canada,6.65,2011
FIFA 14,PS3,EA Sports,EA Canada,6.61,2013
Fallout 4,PC,Bethesda Softworks,Bethesda Game Studios,6.6,2015
New Super Mario Bros. U Deluxe,NS,Nintendo,Nintendo EPD,6.6,2019
Tomodachi Life,3DS,Nintendo,Nintendo,6.59,2014
Red Dead Redemption,PS3,Rockstar Games,Rockstar San Diego,6.57,2011
Donkey Kong Country Returns,Wii,Nintendo,Retro Studios,6.53,2010
The Legend of Zelda,NES,Nintendo,Nintendo EAD,6.51,1987
Assassin's Creed III,PS3,Ubisoft,Ubisoft Montreal,6.5,2012
Guild Wars,PC,NCSoft,ArenaNet,6.5,2005
Red Dead Redemption,X360,Rockstar Games,Rockstar San Diego,6.5,2010
The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,Bethesda Game Studios,6.49,2011
Final Fantasy XII,PS2,Square Enix,Square Enix,6.4,2006
Pokemon Crystal Version,GBC,Nintendo,Game Freak,6.39,2001
Halo 3: ODST,X360,Microsoft Game Studios,Bungie,6.35,2009
Minecraft,PS4,Sony Computer Entertainment,Mojang,6.33,2014
Luigi's Mansion 3,NS,Nintendo,"Next Level Games, Inc.",6.33,2019
FIFA 15,PS4,EA Sports,EA Canada,6.32,2014
Kingdom Hearts,PS2,Square EA,SquareSoft,6.3,2002
Myst,PC,Broderbund,Cyan Worlds,6.3,1995
Street Fighter II: The World Warrior,SNES,Capcom,Capcom,6.3,1992
Driver,PS,GT Interactive,Reflections Interactive,6.27,1999
Call of Duty: WWII,XOne,Activision,Sledgehammer Games,6.23,2017
Luigi's Mansion: Dark Moon,3DS,Nintendo,Next Level Games,6.16,2013
Big Brain Academy,DS,Nintendo,Nintendo EAD,6.15,2006
Minecraft,PS3,Sony Computer Entertainment America,Mojang,6.05,2014
Metal Gear Solid 2: Sons of Liberty,PS2,Konami,Konami Computer Entertainment Japan,6.05,2001
The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo,GREZZO,6.02,2011
Cities: Skylines,PC,Paradox Interactive,Colossal Order,6,2015
Metal Gear Solid,PS,Konami,Konami Computer Entertainment Japan,6,1998
Sonic the Hedgehog 2,GEN,Sega,Sonic Team,6,1992
Metal Gear Solid 4: Guns of the Patriots,PS3,Konami,Kojima Productions,6,2008
Euro Truck Simulator 2,PC,SCS Software,SCS Software,5.98,2013
Mario Kart: Super Circuit,GBA,Nintendo,Intelligent Systems,5.91,2001
Super Mario Sunshine,GC,Nintendo,Nintendo EAD,5.91,2002
Super Mario 3D World,WiiU,Nintendo,Nintendo EAD Tokyo,5.84,2013
Age of Empires II: HD Edition,PC,Microsoft Studios,Hidden Path Entertainment,5.82,2013
New Super Mario Bros. U,WiiU,Nintendo,Nintendo EAD,5.8,2012
Link's Crossbow Training,Wii,Nintendo,Nintendo EAD,5.79,2007
Red Dead Redemption 2,XOne,Rockstar Games,Rockstar Games,5.77,2018
Destiny,PS4,Activision,Bungie,5.76,2014
Tekken 2,PS,Namco,Namco,5.74,1996
Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,Bluepoint Games,5.7,2015
Super Mario World: Super Mario Advance 2,GBA,Nintendo,Nintendo EAD,5.69,2002
LEGO Star Wars: The Complete Saga,Wii,LucasArts,Traveller's Tales,5.66,2007
Cooking Mama,DS,Majesco,Office Create,5.66,2006
Tetris,NES,Nintendo,Nintendo,5.58,1989
Super Mario Advance,GBA,Nintendo,Nintendo EAD,5.57,2001
Assassin's Creed II,PS3,Ubisoft,Ubisoft Montreal,5.57,2009
Super Smash Bros.,N64,Nintendo,HAL Laboratory,5.55,1999
Assassin's Creed,X360,Ubisoft,Ubisoft Montreal,5.55,2007
Batman: Arkham City,PS3,Warner Bros. Interactive,Rocksteady Studios,5.54,2011
Forza Motorsport 3,X360,Microsoft Game Studios,Turn 10 Studios,5.5,2009
Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,Level 5,5.5,2010
Final Fantasy IX,PS,Square,SquareSoft,5.5,2000
Final Fantasy X-2,PS2,Square Enix,Square Enix,5.5,2003
Sid Meier's Civilization VI,PC,2K Games,Firaxis Games,5.5,2016
Tomb Raider (2013),PC,Square Enix,Crystal Dynamics,5.5,2013
Super Mario Maker 2,NS,Nintendo,Nintendo,5.48,2019
Pokemon Stadium,N64,Nintendo,HAL Laboratory,5.46,2000
Minecraft,XOne,Microsoft Studios,Mojang,5.43,2014
Call of Duty: World at War,PS3,Activision,Treyarch,5.43,2008
Super Mario Advance 4: Super Mario Bros. 3,GBA,Nintendo,Nintendo EAD,5.43,2003
Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,Traveller's Tales,5.42,2001
Super Smash Bros. for Wii U,WiiU,Nintendo,Bandai Namco Games,5.37,2014
Final Fantasy XIII,PS3,Square Enix,Square Enix,5.35,2010
Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment,Polyphony Digital,5.35,2008
Dr. Mario,GB,Nintendo,Nintendo R&D1,5.34,1990
Assassin's Creed III,X360,Ubisoft,Ubisoft Montreal,5.31,2012
Pokemon Pinball,GBC,Nintendo,Jupiter Corporation,5.31,1999
Assassin's Creed II,X360,Ubisoft,Ubisoft Montreal,5.3,2009
The Forest,PC,Endnight Games Ltd,Unknown,5.3,2014
Donkey Kong 64,N64,Nintendo,Rare Ltd.,5.27,1999
Just Dance 2,Wii,Ubisoft,Ubisoft Paris,5.25,2010
Tomb Raider II,PS,Eidos Interactive,Core Design Ltd.,5.24,1997
Madden NFL 2004,PS2,EA Sports,EA Tiburon,5.23,2003
Call of Duty: Advanced Warfare,XOne,Activision,Sledgehammer Games,5.22,2014
Fallout: New Vegas,PC,Bethesda Softworks,Obsidian Entertainment,5.22,2010
Gran Turismo 6,PS3,Sony Computer Entertainment America,Polyphony Digital,5.22,2013
Kingdom Hearts II,PS2,Square Enix,Square Enix,5.2,2006
Nintendo Land,WiiU,Nintendo,Nintendo,5.2,2012
Super Mario Land 3: Wario Land,GB,Nintendo,Nintendo R&D1,5.19,1994
Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,Rare Ltd.,5.15,1995
Medal of Honor: Rising Sun,PS2,Electronic Arts,EA Los Angeles,5.13,2003
Battlefield 1,XOne,Electronic Arts,EA DICE,5.13,2016
Kirby's Dream Land,GB,Nintendo,HAL Laboratory,5.13,1992
Microsoft Flight Simulator,PC,Microsoft,Microsoft,5.12,1996
Guitar Hero II,PS2,RedOctane,Harmonix Music Systems,5.12,2006
FIFA 13,X360,EA Sports,EA Canada,5.11,2012
Resident Evil 5,PS3,Capcom,Capcom,5.1,2009
Fable III,X360,Microsoft Game Studios,Lionhead Studios,5.1,2010
Mario & Sonic at the Olympic Games,DS,Sega,Sega,5.1,2008
Grand Theft Auto: Vice City Stories,PSP,Rockstar Games,Rockstar Leeds,5.08,2006
FIFA Soccer 11,PS3,EA Sports,EA Canada,5.08,2010
Super Mario Bros. Deluxe,GB,Nintendo,Nintendo EAD,5.07,1999
Final Fantasy XV,PS4,Square Enix,Square Enix,5.07,2016
Fallout 4,XOne,Bethesda Softworks,Bethesda Game Studios,5.03,2015
Tony Hawk's Pro Skater,PS,Activision,Neversoft Entertainment,5.02,1999
Warzone 2100,PS,Eidos Interactive,Pumpkin Studios,5.01,1999
Spyro the Dragon,PS,Sony Computer Entertainment,Insomniac Games,5,1998
Gears of War,X360,Microsoft Game Studios,Epic Games,5,2006
Gears of War 2,X360,Microsoft Game Studios,Epic Games,5,2008
Halo 5: Guardians,XOne,Microsoft Studios,343 Industries,5,2015
Halo: Combat Evolved,XB,Microsoft,Bungie Studios,5,2001
Guitar Hero III: Legends of Rock,PS2,RedOctane,BudCat Creations,4.98,2007
Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment,Naughty Dog,4.97,2007
Resident Evil 2,PS,Capcom,Capcom,4.96,1998
Fallout 3,X360,Bethesda Softworks,Bethesda Game Studios,4.96,2008
Splatoon,WiiU,Nintendo,Nintendo EAD,4.95,2015
Madden NFL 06,PS2,EA Sports,EA Tiburon,4.91,2005
Stardew Valley,PC,Chucklefish,ConcernedApe,4.91,2016
Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,Level 5 / Armor Project,4.9,2005
Monster Hunter Freedom 3,PSP,Capcom,Capcom,4.9,2010
Diddy Kong Racing,N64,Nintendo,Rare Ltd.,4.88,1997
Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo,ChunSoft,4.88,2008
Call of Duty: Black Ops IIII,XOne,Activision,Treyarch,4.85,2018
Dr. Mario,NES,Nintendo,Nintendo R&D1,4.85,1990
Crash Bandicoot N. Sane Trilogy,PS4,Activision,Vicarious Visions,4.83,2017
Assassin's Creed,PS3,Ubisoft,Ubisoft Montreal,4.83,2007
Call of Duty: Infinite Warfare,XOne,Activision,Infinity Ward,4.79,2016
Crash Team Racing,PS,Sony Computer Entertainment,Naughty Dog,4.79,1999
LEGO Star Wars: The Complete Saga,DS,LucasArts,Traveller's Tales,4.77,2007
The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Nintendo EAD,4.76,2007
Batman: Arkham City,X360,Warner Bros. Interactive,Rocksteady Studios,4.75,2011
Driver 2,PS,Atari,Reflections Interactive,4.73,2000
The Simpsons: Hit & Run,PS2,VU Games,Radical Entertainment,4.7,2003
World of Warcraft: Cataclysm,PC,Blizzard Entertainment,Blizzard Entertainment,4.7,2010
Tony Hawk's Pro Skater 2,PS,Activision,Neversoft Entertainment,4.68,2000
Gran Turismo,PSP,Sony Computer Entertainment,Polyphony Digital,4.67,2009
The Lord of the Rings: The Two Towers,PS2,Electronic Arts,Stormfront Studios,4.67,2002
Tomb Raider,PS,Eidos Interactive,Core Design Ltd.,4.63,1996
God of War,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,4.62,2005
The Legend of Zelda: A Link to the Past,SNES,Nintendo,Nintendo EAD,4.61,1992
Left 4 Dead,PC,Valve Corporation,Valve Software,4.6,2008
Forza Motorsport 4,X360,Microsoft Studios,Turn 10 Studio,4.6,2011
Guitar Hero III: Legends of Rock,Wii,RedOctane,Vicarious Visions,4.6,2007
Nintendogs + cats,3DS,Nintendo,Nintendo EAD,4.59,2011
"Pokemon: Let's Go, Pikachu!",NS,Nintendo,Game Freak,4.57,2018
BioShock Infinite,PC,2K Games,Irrational Games,4.56,2013
Mario & Luigi: Bowser's Inside Story,DS,Nintendo,AlphaDream Corporation,4.56,2009
FIFA 15,PS3,EA Sports,EA Canada,4.56,2014
Mario & Sonic at the Olympic Winter Games,Wii,Sega,Sega,4.54,2009
Overwatch,PS4,Blizzard Entertainment,Blizzard Entertainment,4.54,2016
Madden NFL 2005,PS2,EA Sports,EA Tiburon,4.53,2004
Guitar Hero III: Legends of Rock,X360,RedOctane,Neversoft,4.53,2007
Star Wars Battlefront II (2017),PS4,Electronic Arts,EA DICE,4.53,2017
Dead Island,PC,Deep Silver,Techland,4.52,2011
Arma 2: Operation Arrowhead,PC,Meridian4,Bohemia Interactive,4.51,2010
ARK: Survival Evolved,PC,Studio Wildcard,Studio Wildcard,4.5,2015
LittleBigPlanet,PS3,Sony Computer Entertainment,Media Molecule,4.5,2008
Riven: The Sequel to Myst,PC,Red Orb,Cyan Worlds,4.5,1997
StarCraft II: Wings of Liberty,PC,Blizzard Entertainment,Blizzard Entertainment,4.5,2010
Warcraft III: Reign of Chaos,PC,Blizzard Entertainment,Blizzard Entertainment,4.5,2002
Pitfall!,2600,Activision,Activision,4.5,1982
Professor Layton and the Curious Village,DS,Nintendo,Level 5,4.49,2008
Madden NFL 07,PS2,EA Sports,EA Tiburon,4.49,2006
Spider-Man: The Movie,PS2,Activision,Treyarch,4.48,2002
The Elder Scrolls IV: Oblivion,X360,Take-Two Interactive,Bethesda Softworks,4.47,2009
The Legend of Zelda: The Wind Waker,GC,Nintendo,Nintendo EAD,4.43,2003
Tony Hawk's Pro Skater 3,PS2,Activision,Neversoft Entertainment,4.41,2001
Winning Eleven: Pro Evolution Soccer 2007,PS2,Konami,Konami Computer Entertainment Tokyo,4.39,2007
The Legend of Zelda: Link's Awakening,NS,Nintendo,Nintendo,4.38,2019
Zelda II: The Adventure of Link,NES,Nintendo,Nintendo EAD,4.38,1988
Michael Jackson: The Experience,Wii,Ubisoft,Ubisoft Montpellier,4.37,2010
Tom Clancy's The Division,PS4,Ubisoft,Massive Entertainment,4.37,2016
Need for Speed: Most Wanted,PS2,Electronic Arts,EA Canada,4.37,2005
Resistance: Fall of Man,PS3,Sony Computer Entertainment,Insomniac Games,4.37,2006
Tom Clancy's Rainbow Six: Siege,PS4,Ubisoft,Ubisoft Montreal,4.36,2015
Call of Duty: Advanced Warfare,X360,Activision,High Moon Studios,4.34,2014
Watch Dogs,PS4,Ubisoft,Ubisoft Montreal,4.32,2014
Animal Crossing: City Folk,Wii,Nintendo,Nintendo EAD,4.32,2008
Starbound,PC,"Infocom, Inc.",Unknown,4.31,2014
Asteroids,2600,Atari,Atari,4.31,1981
Dragon Quest VII,PS,Enix,Heart Beat,4.3,2001
Monster Hunter Generations,3DS,Capcom,Capcom,4.3,2016
The Witcher 3: Wild Hunt,XOne,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,4.3,2015
Batman: Arkham Asylum,PS3,Eidos Interactive,Rocksteady Studios,4.28,2009
Call of Duty: Advanced Warfare,PS3,Activision,High Moon Studios,4.27,2014
God of War II,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,4.24,2007
Namco Museum,GBA,Namco,Mass Media,4.24,2001
Daxter,PSP,Sony Computer Entertainment,Ready at Dawn,4.23,2006
Super Paper Mario,Wii,Nintendo,Intelligent Systems,4.23,2007
Assassin's Creed: Revelations,PS3,Ubisoft,Ubisoft Montreal,4.23,2011
Metal Gear Solid 3: Snake Eater,PS2,Konami,KCEJ / Kojima Productions,4.23,2004
Assassin's Creed: Revelations,X360,Ubisoft,Ubisoft Montreal,4.22,2011
FIFA Soccer 06,PS2,EA Sports,EA Canada,4.21,2005
Counter-Strike,PC,Sierra Studios,Unknown,4.2,2000
Monster Hunter 4 Ultimate,3DS,Capcom,Capcom,4.2,2015
Mortal Kombat 11,PS4,NetherRealm Studios,Warner Bros. Interactive Entertainment,4.2,2019
Street Fighter IV,PS3,Capcom,Capcom / Dimps Corporation,4.19,2009
7 Days to Die,PC,The Fun Pimps,The Fun Pimps,4.18,2013
FIFA Soccer 12,X360,EA Sports,EA Canada,4.18,2011
Call of Duty: Ghosts,PS4,Activision,Infinity Ward,4.17,2013
Teenage Mutant Ninja Turtles,NES,Ultra Games,Konami,4.17,1989
Just Cause 2,PC,Eidos Interactive,Avalanche Studios,4.16,2010
Excitebike,NES,Nintendo,Nintendo R&D1,4.16,1985
Frogger,PS,Hasbro Interactive,Millenium Interactive,4.16,1997
Star Wars Battlefront (2015),XOne,Electronic Arts,EA DICE,4.15,2015
FIFA 14,X360,EA Sports,EA Canada,4.15,2013
Madden NFL 2003,PS2,EA Sports,EA Tiburon,4.14,2002
Assassin's Creed: Unity,PS4,Ubisoft,Ubisoft Montreal,4.14,2014
Destiny 2,PS4,Activision,Bungie,4.14,2017
